1,3,1,5,Delicious vanilla ice cream! Creamy texture and authentic vanilla flavor. Perfect for desserts.,2024-01-15 14:30:00,2024-01-15 14:30:00
2,5,1,4,Good quality ice cream but a bit too sweet for my taste.,2024-02-20 10:15:00,2024-02-20 10:15:00
3,10,2,5,Best chocolate ice cream I've ever had! Rich and creamy.,2024-03-10 16:45:00,2024-03-10 16:45:00
4,15,2,4,Very good chocolate flavor. Would buy again.,2024-03-15 09:20:00,2024-03-15 09:20:00
5,20,3,3,Strawberry flavor is okay but not the best I've tried.,2024-04-01 11:30:00,2024-04-01 11:30:00
6,25,4,5,Great value for a 6-pack! Perfect for parties.,2024-04-10 13:00:00,2024-04-10 13:00:00
7,30,5,5,Super fresh eggs! Great for baking.,2024-05-01 08:15:00,2024-05-01 08:15:00
8,35,5,4,Good quality eggs. Yolks are bright orange.,2024-05-05 07:30:00,2024-05-05 07:30:00
9,40,6,5,Beautiful modern art print. Looks amazing on my wall!,2024-06-01 15:20:00,2024-06-01 15:20:00
10,45,6,4,Nice print but colors are slightly different from the picture.,2024-06-10 12:00:00,2024-06-10 12:00:00
